Web Search interest: big data hadoop
Worldwide 2004 - present

Interest over time
Week,big data,hadoop
2006-08-20 - 2006-08-26,6,2
2006-08-27 - 2006-09-02,4,2
2006-09-03 - 2006-09-09,4,2
2006-09-10 - 2006-09-16,5,1
2006-09-17 - 2006-09-23,5,2
2006-09-24 - 2006-09-30,5,2
2006-10-01 - 2006-10-07,4,1
2006-10-08 - 2006-10-14,4,1
2006-10-15 - 2006-10-21,5,1
2006-10-22 - 2006-10-28,6,2
2006-10-29 - 2006-11-04,4,1
2006-11-05 - 2006-11-11,3,1
2006-11-12 - 2006-11-18,4,1
2006-11-19 - 2006-11-25,4,2
2006-11-26 - 2006-12-02,3,3
2006-12-03 - 2006-12-09,3,2
2006-12-10 - 2006-12-16,3,2
2006-12-17 - 2006-12-23,3,1
2006-12-24 - 2006-12-30,3,1
2006-12-31 - 2007-01-06,4,1
2007-01-07 - 2007-01-13,3,2
2007-01-14 - 2007-01-20,4,2
2007-01-21 - 2007-01-27,4,2
2007-01-28 - 2007-02-03,4,1
2007-02-04 - 2007-02-10,4,2
2007-02-11 - 2007-02-17,3,1
2007-02-18 - 2007-02-24,4,2
2007-02-25 - 2007-03-03,4,2
2007-03-04 - 2007-03-10,4,2
2007-03-11 - 2007-03-17,5,2
2007-03-18 - 2007-03-24,5,1
2007-03-25 - 2007-03-31,3,3
2007-04-01 - 2007-04-07,3,2
2007-04-08 - 2007-04-14,4,1
2007-04-15 - 2007-04-21,3,2
2007-04-22 - 2007-04-28,4,2
2007-04-29 - 2007-05-05,4,2
2007-05-06 - 2007-05-12,4,3
2007-05-13 - 2007-05-19,4,3
2007-05-20 - 2007-05-26,3,3
2007-05-27 - 2007-06-02,4,2
2007-06-03 - 2007-06-09,4,2
2007-06-10 - 2007-06-16,4,2
2007-06-17 - 2007-06-23,4,2
2007-06-24 - 2007-06-30,5,2
2007-07-01 - 2007-07-07,4,3
2007-07-08 - 2007-07-14,3,3
2007-07-15 - 2007-07-21,4,3
2007-07-22 - 2007-07-28,5,4
2007-07-29 - 2007-08-04,4,5
2007-08-05 - 2007-08-11,5,7
2007-08-12 - 2007-08-18,5,7
2007-08-19 - 2007-08-25,4,7
2007-08-26 - 2007-09-01,5,3
2007-09-02 - 2007-09-08,4,4
2007-09-09 - 2007-09-15,5,4
2007-09-16 - 2007-09-22,6,3
2007-09-23 - 2007-09-29,4,4
2007-09-30 - 2007-10-06,5,5
2007-10-07 - 2007-10-13,5,8
2007-10-14 - 2007-10-20,4,6
2007-10-21 - 2007-10-27,6,5
2007-10-28 - 2007-11-03,4,5
2007-11-04 - 2007-11-10,4,5
2007-11-11 - 2007-11-17,4,8
2007-11-18 - 2007-11-24,4,5
2007-11-25 - 2007-12-01,4,5
2007-12-02 - 2007-12-08,5,5
2007-12-09 - 2007-12-15,4,6
2007-12-16 - 2007-12-22,3,14
2007-12-23 - 2007-12-29,2,6
2007-12-30 - 2008-01-05,4,5
2008-01-06 - 2008-01-12,3,6
2008-01-13 - 2008-01-19,4,5
2008-01-20 - 2008-01-26,5,5
2008-01-27 - 2008-02-02,6,7
2008-02-03 - 2008-02-09,4,6
2008-02-10 - 2008-02-16,3,5
2008-02-17 - 2008-02-23,4,11
2008-02-24 - 2008-03-01,5,7
2008-03-02 - 2008-03-08,5,7
2008-03-09 - 2008-03-15,5,8
2008-03-16 - 2008-03-22,4,7
2008-03-23 - 2008-03-29,4,10
2008-03-30 - 2008-04-05,4,8
2008-04-06 - 2008-04-12,4,9
2008-04-13 - 2008-04-19,5,8
2008-04-20 - 2008-04-26,5,9
2008-04-27 - 2008-05-03,4,8
2008-05-04 - 2008-05-10,5,10
2008-05-11 - 2008-05-17,4,9
2008-05-18 - 2008-05-24,5,8
2008-05-25 - 2008-05-31,3,10
2008-06-01 - 2008-06-07,6,10
2008-06-08 - 2008-06-14,5,8
2008-06-15 - 2008-06-21,4,9
2008-06-22 - 2008-06-28,4,10
2008-06-29 - 2008-07-05,5,10
2008-07-06 - 2008-07-12,5,12
2008-07-13 - 2008-07-19,5,10
2008-07-20 - 2008-07-26,4,11
2008-07-27 - 2008-08-02,4,11
2008-08-03 - 2008-08-09,5,10
2008-08-10 - 2008-08-16,5,15
2008-08-17 - 2008-08-23,4,10
2008-08-24 - 2008-08-30,5,10
2008-08-31 - 2008-09-06,4,10
2008-09-07 - 2008-09-13,6,10
2008-09-14 - 2008-09-20,5,8
2008-09-21 - 2008-09-27,5,9
2008-09-28 - 2008-10-04,6,9
2008-10-05 - 2008-10-11,5,11
2008-10-12 - 2008-10-18,6,11
2008-10-19 - 2008-10-25,5,12
2008-10-26 - 2008-11-01,6,10
2008-11-02 - 2008-11-08,5,10
2008-11-09 - 2008-11-15,5,12
2008-11-16 - 2008-11-22,5,11
2008-11-23 - 2008-11-29,5,12
2008-11-30 - 2008-12-06,5,12
2008-12-07 - 2008-12-13,4,12
2008-12-14 - 2008-12-20,6,9
2008-12-21 - 2008-12-27,3,9
2008-12-28 - 2009-01-03,4,8
2009-01-04 - 2009-01-10,4,10
2009-01-11 - 2009-01-17,4,11
2009-01-18 - 2009-01-24,5,10
2009-01-25 - 2009-01-31,5,9
2009-02-01 - 2009-02-07,4,10
2009-02-08 - 2009-02-14,5,10
2009-02-15 - 2009-02-21,5,14
2009-02-22 - 2009-02-28,4,13
2009-03-01 - 2009-03-07,5,13
2009-03-08 - 2009-03-14,5,13
2009-03-15 - 2009-03-21,6,28
2009-03-22 - 2009-03-28,4,16
2009-03-29 - 2009-04-04,5,23
2009-04-05 - 2009-04-11,5,20
2009-04-12 - 2009-04-18,4,17
2009-04-19 - 2009-04-25,5,14
2009-04-26 - 2009-05-02,5,15
2009-05-03 - 2009-05-09,4,15
2009-05-10 - 2009-05-16,5,19
2009-05-17 - 2009-05-23,5,17
2009-05-24 - 2009-05-30,5,13
2009-05-31 - 2009-06-06,5,18
2009-06-07 - 2009-06-13,5,26
2009-06-14 - 2009-06-20,5,16
2009-06-21 - 2009-06-27,3,16
2009-06-28 - 2009-07-04,4,21
2009-07-05 - 2009-07-11,4,21
2009-07-12 - 2009-07-18,5,16
2009-07-19 - 2009-07-25,4,21
2009-07-26 - 2009-08-01,5,20
2009-08-02 - 2009-08-08,5,17
2009-08-09 - 2009-08-15,6,21
2009-08-16 - 2009-08-22,5,18
2009-08-23 - 2009-08-29,5,18
2009-08-30 - 2009-09-05,5,16
2009-09-06 - 2009-09-12,6,15
2009-09-13 - 2009-09-19,6,20
2009-09-20 - 2009-09-26,6,19
2009-09-27 - 2009-10-03,4,21
2009-10-04 - 2009-10-10,5,20
2009-10-11 - 2009-10-17,5,21
2009-10-18 - 2009-10-24,6,19
2009-10-25 - 2009-10-31,5,18
2009-11-01 - 2009-11-07,5,19
2009-11-08 - 2009-11-14,5,19
2009-11-15 - 2009-11-21,5,21
2009-11-22 - 2009-11-28,7,24
2009-11-29 - 2009-12-05,5,24
2009-12-06 - 2009-12-12,6,18
2009-12-13 - 2009-12-19,5,18
2009-12-20 - 2009-12-26,4,16
2009-12-27 - 2010-01-02,4,11
2010-01-03 - 2010-01-09,5,18
2010-01-10 - 2010-01-16,5,19
2010-01-17 - 2010-01-23,5,19
2010-01-24 - 2010-01-30,5,19
2010-01-31 - 2010-02-06,5,17
2010-02-07 - 2010-02-13,5,16
2010-02-14 - 2010-02-20,6,17
2010-02-21 - 2010-02-27,5,22
2010-02-28 - 2010-03-06,5,22
2010-03-07 - 2010-03-13,6,22
2010-03-14 - 2010-03-20,5,22
2010-03-21 - 2010-03-27,5,20
2010-03-28 - 2010-04-03,5,21
2010-04-04 - 2010-04-10,6,21
2010-04-11 - 2010-04-17,6,20
2010-04-18 - 2010-04-24,5,24
2010-04-25 - 2010-05-01,6,23
2010-05-02 - 2010-05-08,6,21
2010-05-09 - 2010-05-15,5,21
2010-05-16 - 2010-05-22,5,23
2010-05-23 - 2010-05-29,5,22
2010-05-30 - 2010-06-05,6,22
2010-06-06 - 2010-06-12,6,24
2010-06-13 - 2010-06-19,6,23
2010-06-20 - 2010-06-26,5,22
2010-06-27 - 2010-07-03,6,27
2010-07-04 - 2010-07-10,4,23
2010-07-11 - 2010-07-17,5,25
2010-07-18 - 2010-07-24,5,24
2010-07-25 - 2010-07-31,6,23
2010-08-01 - 2010-08-07,5,24
2010-08-08 - 2010-08-14,5,23
2010-08-15 - 2010-08-21,5,22
2010-08-22 - 2010-08-28,6,21
2010-08-29 - 2010-09-04,5,22
2010-09-05 - 2010-09-11,6,25
2010-09-12 - 2010-09-18,6,29
2010-09-19 - 2010-09-25,5,24
2010-09-26 - 2010-10-02,5,28
2010-10-03 - 2010-10-09,6,24
2010-10-10 - 2010-10-16,6,27
2010-10-17 - 2010-10-23,6,27
2010-10-24 - 2010-10-30,6,26
2010-10-31 - 2010-11-06,5,27
2010-11-07 - 2010-11-13,6,28
2010-11-14 - 2010-11-20,6,28
2010-11-21 - 2010-11-27,6,22
2010-11-28 - 2010-12-04,5,28
2010-12-05 - 2010-12-11,6,26
2010-12-12 - 2010-12-18,6,26
2010-12-19 - 2010-12-25,5,23
2010-12-26 - 2011-01-01,5,17
2011-01-02 - 2011-01-08,6,22
2011-01-09 - 2011-01-15,6,25
2011-01-16 - 2011-01-22,8,27
2011-01-23 - 2011-01-29,7,27
2011-01-30 - 2011-02-05,7,23
2011-02-06 - 2011-02-12,8,27
2011-02-13 - 2011-02-19,7,32
2011-02-20 - 2011-02-26,6,28
2011-02-27 - 2011-03-05,7,27
2011-03-06 - 2011-03-12,7,27
2011-03-13 - 2011-03-19,6,25
2011-03-20 - 2011-03-26,7,30
2011-03-27 - 2011-04-02,7,30
2011-04-03 - 2011-04-09,7,29
2011-04-10 - 2011-04-16,7,30
2011-04-17 - 2011-04-23,7,35
2011-04-24 - 2011-04-30,7,35
2011-05-01 - 2011-05-07,7,26
2011-05-08 - 2011-05-14,9,37
2011-05-15 - 2011-05-21,9,32
2011-05-22 - 2011-05-28,10,33
2011-05-29 - 2011-06-04,7,30
2011-06-05 - 2011-06-11,9,34
2011-06-12 - 2011-06-18,7,35
2011-06-19 - 2011-06-25,8,33
2011-06-26 - 2011-07-02,8,41
2011-07-03 - 2011-07-09,8,35
2011-07-10 - 2011-07-16,10,35
2011-07-17 - 2011-07-23,9,35
2011-07-24 - 2011-07-30,9,36
2011-07-31 - 2011-08-06,8,34
2011-08-07 - 2011-08-13,8,33
2011-08-14 - 2011-08-20,9,30
2011-08-21 - 2011-08-27,8,34
2011-08-28 - 2011-09-03,9,32
2011-09-04 - 2011-09-10,9,34
2011-09-11 - 2011-09-17,9,33
2011-09-18 - 2011-09-24,11,36
2011-09-25 - 2011-10-01,10,40
2011-10-02 - 2011-10-08,12,37
2011-10-09 - 2011-10-15,12,48
2011-10-16 - 2011-10-22,12,43
2011-10-23 - 2011-10-29,12,39
2011-10-30 - 2011-11-05,13,41
2011-11-06 - 2011-11-12,13,60
2011-11-13 - 2011-11-19,13,45
2011-11-20 - 2011-11-26,12,41
2011-11-27 - 2011-12-03,16,43
2011-12-04 - 2011-12-10,14,43
2011-12-11 - 2011-12-17,12,41
2011-12-18 - 2011-12-24,12,42
2011-12-25 - 2011-12-31,10,36
2012-01-01 - 2012-01-07,15,41
2012-01-08 - 2012-01-14,17,43
2012-01-15 - 2012-01-21,16,38
2012-01-22 - 2012-01-28,16,37
2012-01-29 - 2012-02-04,19,46
2012-02-05 - 2012-02-11,17,45
2012-02-12 - 2012-02-18,21,47
2012-02-19 - 2012-02-25,19,48
2012-02-26 - 2012-03-03,19,50
2012-03-04 - 2012-03-10,21,48
2012-03-11 - 2012-03-17,22,47
2012-03-18 - 2012-03-24,22,47
2012-03-25 - 2012-03-31,25,50
2012-04-01 - 2012-04-07,23,44
2012-04-08 - 2012-04-14,23,46
2012-04-15 - 2012-04-21,24,45
2012-04-22 - 2012-04-28,25,46
2012-04-29 - 2012-05-05,25,42
2012-05-06 - 2012-05-12,25,45
2012-05-13 - 2012-05-19,24,46
2012-05-20 - 2012-05-26,26,46
2012-05-27 - 2012-06-02,24,46
2012-06-03 - 2012-06-09,26,49
2012-06-10 - 2012-06-16,26,57
2012-06-17 - 2012-06-23,24,48
2012-06-24 - 2012-06-30,25,48
2012-07-01 - 2012-07-07,23,45
2012-07-08 - 2012-07-14,26,50
2012-07-15 - 2012-07-21,25,46
2012-07-22 - 2012-07-28,26,49
2012-07-29 - 2012-08-04,27,45
2012-08-05 - 2012-08-11,26,45
2012-08-12 - 2012-08-18,28,46
2012-08-19 - 2012-08-25,29,51
2012-08-26 - 2012-09-01,28,49
2012-09-02 - 2012-09-08,28,46
2012-09-09 - 2012-09-15,33,49
2012-09-16 - 2012-09-22,34,48
2012-09-23 - 2012-09-29,36,49
2012-09-30 - 2012-10-06,36,47
2012-10-07 - 2012-10-13,37,48
2012-10-14 - 2012-10-20,37,53
2012-10-21 - 2012-10-27,39,52
2012-10-28 - 2012-11-03,39,50
2012-11-04 - 2012-11-10,39,49
2012-11-11 - 2012-11-17,39,47
2012-11-18 - 2012-11-24,35,45
2012-11-25 - 2012-12-01,37,49
2012-12-02 - 2012-12-08,43,51
2012-12-09 - 2012-12-15,40,52
2012-12-16 - 2012-12-22,36,47
2012-12-23 - 2012-12-29,25,36
2012-12-30 - 2013-01-05,31,37
2013-01-06 - 2013-01-12,41,48
2013-01-13 - 2013-01-19,42,48
2013-01-20 - 2013-01-26,42,52
2013-01-27 - 2013-02-02,44,54
2013-02-03 - 2013-02-09,44,51
2013-02-10 - 2013-02-16,43,49
2013-02-17 - 2013-02-23,47,56
2013-02-24 - 2013-03-02,47,64
2013-03-03 - 2013-03-09,51,59
2013-03-10 - 2013-03-16,52,60
2013-03-17 - 2013-03-23,52,62
2013-03-24 - 2013-03-30,52,60
2013-03-31 - 2013-04-06,54,59
2013-04-07 - 2013-04-13,54,62
2013-04-14 - 2013-04-20,53,60
2013-04-21 - 2013-04-27,57,63
2013-04-28 - 2013-05-04,52,55
2013-05-05 - 2013-05-11,52,59
2013-05-12 - 2013-05-18,57,56
2013-05-19 - 2013-05-25,49,59
2013-05-26 - 2013-06-01,53,55
2013-06-02 - 2013-06-08,59,62
2013-06-09 - 2013-06-15,58,61
2013-06-16 - 2013-06-22,56,62
2013-06-23 - 2013-06-29,55,69
2013-06-30 - 2013-07-06,51,57
2013-07-07 - 2013-07-13,56,61
2013-07-14 - 2013-07-20,54,63
2013-07-21 - 2013-07-27,53,63
2013-07-28 - 2013-08-03,52,60
2013-08-04 - 2013-08-10,53,60
2013-08-11 - 2013-08-17,50,55
2013-08-18 - 2013-08-24,57,63
2013-08-25 - 2013-08-31,54,61
2013-09-01 - 2013-09-07,57,59
2013-09-08 - 2013-09-14,59,62
2013-09-15 - 2013-09-21,61,61
2013-09-22 - 2013-09-28,65,64
2013-09-29 - 2013-10-05,63,63
2013-10-06 - 2013-10-12,64,65
2013-10-13 - 2013-10-19,63,65
2013-10-20 - 2013-10-26,66,69
2013-10-27 - 2013-11-02,65,67
2013-11-03 - 2013-11-09,65,67
2013-11-10 - 2013-11-16,67,70
2013-11-17 - 2013-11-23,65,67
2013-11-24 - 2013-11-30,60,61
2013-12-01 - 2013-12-07,62,65
2013-12-08 - 2013-12-14,61,63
2013-12-15 - 2013-12-21,56,67
2013-12-22 - 2013-12-28,43,49
2013-12-29 - 2014-01-04,47,48
2014-01-05 - 2014-01-11,64,63
2014-01-12 - 2014-01-18,67,63
2014-01-19 - 2014-01-25,69,66
2014-01-26 - 2014-02-01,69,65
2014-02-02 - 2014-02-08,67,64
2014-02-09 - 2014-02-15,70,68
2014-02-16 - 2014-02-22,70,71
2014-02-23 - 2014-03-01,74,72
2014-03-02 - 2014-03-08,73,72
2014-03-09 - 2014-03-15,76,73
2014-03-16 - 2014-03-22,75,70
2014-03-23 - 2014-03-29,78,77
2014-03-30 - 2014-04-05,75,73
2014-04-06 - 2014-04-12,75,72
2014-04-13 - 2014-04-19,68,71
2014-04-20 - 2014-04-26,70,74
2014-04-27 - 2014-05-03,70,69
2014-05-04 - 2014-05-10,76,72
2014-05-11 - 2014-05-17,70,68
2014-05-18 - 2014-05-24,76,72
2014-05-25 - 2014-05-31,69,67
2014-06-01 - 2014-06-07,72,71
2014-06-08 - 2014-06-14,70,67
2014-06-15 - 2014-06-21,74,68
2014-06-22 - 2014-06-28,72,69
2014-06-29 - 2014-07-05,70,66
2014-07-06 - 2014-07-12,74,68
2014-07-13 - 2014-07-19,76,68
2014-07-20 - 2014-07-26,76,68
2014-07-27 - 2014-08-02,74,66
2014-08-03 - 2014-08-09,76,70
2014-08-10 - 2014-08-16,72,63
2014-08-17 - 2014-08-23,78,67
2014-08-24 - 2014-08-30,78,64
2014-08-31 - 2014-09-06,75,65
2014-09-07 - 2014-09-13,81,70
2014-09-14 - 2014-09-20,87,73
2014-09-21 - 2014-09-27,88,74
2014-09-28 - 2014-10-04,84,66
2014-10-05 - 2014-10-11,86,71
2014-10-12 - 2014-10-18,87,72
2014-10-19 - 2014-10-25,83,64
2014-10-26 - 2014-11-01,87,68
2014-11-02 - 2014-11-08,88,73
2014-11-09 - 2014-11-15,89,73
2014-11-16 - 2014-11-22,88,71
2014-11-23 - 2014-11-29,80,62
2014-11-30 - 2014-12-06,83,69
2014-12-07 - 2014-12-13,81,69
2014-12-14 - 2014-12-20,76,70
2014-12-21 - 2014-12-27,55,51
2014-12-28 - 2015-01-03,56,47
2015-01-04 - 2015-01-10,76,67
2015-01-11 - 2015-01-17,79,67
2015-01-18 - 2015-01-24,82,67
2015-01-25 - 2015-01-31,84,72
2015-02-01 - 2015-02-07,87,75
2015-02-08 - 2015-02-14,84,74
2015-02-15 - 2015-02-21,86,71
2015-02-22 - 2015-02-28,91,76
2015-03-01 - 2015-03-07,87,71
2015-03-08 - 2015-03-14,92,77
2015-03-15 - 2015-03-21,88,74
2015-03-22 - 2015-03-28,94,76
2015-03-29 - 2015-04-04,84,73
2015-04-05 - 2015-04-11,84,76
2015-04-12 - 2015-04-18,91,78
2015-04-19 - 2015-04-25,89,75
2015-04-26 - 2015-05-02,83,68
2015-05-03 - 2015-05-09,85,74
2015-05-10 - 2015-05-16,84,74
2015-05-17 - 2015-05-23,85,74
2015-05-24 - 2015-05-30,81,70
2015-05-31 - 2015-06-06,83,74
2015-06-07 - 2015-06-13,84,78
2015-06-14 - 2015-06-20,83,74
2015-06-21 - 2015-06-27,80,75
2015-06-28 - 2015-07-04,77,69
2015-07-05 - 2015-07-11,78,71
2015-07-12 - 2015-07-18,76,72
2015-07-19 - 2015-07-25,77,74
2015-07-26 - 2015-08-01,74,71
2015-08-02 - 2015-08-08,73,71
2015-08-09 - 2015-08-15,77,71
2015-08-16 - 2015-08-22,78,71
2015-08-23 - 2015-08-29,80,70
2015-08-30 - 2015-09-05,78,72
2015-09-06 - 2015-09-12,86,74
2015-09-13 - 2015-09-19,86,73
2015-09-20 - 2015-09-26,88,74
2015-09-27 - 2015-10-03,92,74
2015-10-04 - 2015-10-10,92,75
2015-10-11 - 2015-10-17,90,74
2015-10-18 - 2015-10-24,84,68
2015-10-25 - 2015-10-31,89,73
2015-11-01 - 2015-11-07,89,72
2015-11-08 - 2015-11-14,82,60
2015-11-15 - 2015-11-21,88,72
2015-11-22 - 2015-11-28,85,64
2015-11-29 - 2015-12-05,83,66
2015-12-06 - 2015-12-12,86,69
2015-12-13 - 2015-12-19,83,68
2015-12-20 - 2015-12-26,61,54
2015-12-27 - 2016-01-02,58,46
2016-01-03 - 2016-01-09,82,66
2016-01-10 - 2016-01-16,85,65
2016-01-17 - 2016-01-23,90,69
2016-01-24 - 2016-01-30,89,70
2016-01-31 - 2016-02-06,90,71
2016-02-07 - 2016-02-13,91,68
2016-02-14 - 2016-02-20,93,70
2016-02-21 - 2016-02-27,100,71
2016-02-28 - 2016-03-05,91,69
2016-03-06 - 2016-03-12,94,72
2016-03-13 - 2016-03-19,91,74
2016-03-20 - 2016-03-26,80,65
2016-03-27 - 2016-04-02,85,70
2016-04-03 - 2016-04-09,90,67
2016-04-10 - 2016-04-16,91,71
2016-04-17 - 2016-04-23,89,69
2016-04-24 - 2016-04-30,90,67
2016-05-01 - 2016-05-07,84,64
2016-05-08 - 2016-05-14,93,69
2016-05-15 - 2016-05-21,85,65
2016-05-22 - 2016-05-28,87,68
2016-05-29 - 2016-06-04,89,66
2016-06-05 - 2016-06-11,87,66
2016-06-12 - 2016-06-18,84,65
2016-06-19 - 2016-06-25,82,66
2016-06-26 - 2016-07-02,84,69
2016-07-03 - 2016-07-09,78,62
2016-07-10 - 2016-07-16,82,66


Top regions for big data
Region,big data,hadoop
India,100,100
Singapore,74,40
Hong Kong,58,35
South Korea,52,50
Taiwan,42,36
Sri Lanka,36,0
Kenya,31,0
United States,30,26
Ireland,28,17
United Arab Emirates,28,10
Tunisia,28,0
South Africa,27,8
Nigeria,27,0
Netherlands,26,8
Malaysia,25,8
Australia,25,9
Israel,25,20
Switzerland,23,10
Pakistan,23,10
United Kingdom,23,10
Canada,22,11
Denmark,21,6
Spain,21,6
France,21,6
New Zealand,21,7
Finland,19,9
Morocco,19,0
Norway,18,7
Germany,17,7
Belgium,16,6
Philippines,16,5
Austria,15,6
Sweden,14,7
Iran,14,6
Colombia,13,3
Czech Republic,13,8
Brazil,12,3
Portugal,12,5
Indonesia,12,3
Italy,11,4
Bulgaria,11,0
Greece,11,7
Peru,11,0
Hungary,10,5
China,10,57
Egypt,10,4
Romania,9,6
Russia,9,6
Mexico,9,2
Chile,9,3
Poland,8,4
Thailand,8,3
Argentina,7,3
Saudi Arabia,7,0
Ukraine,7,6
Vietnam,7,4
Turkey,4,2
Japan,4,16

Top regions for hadoop
Region,big data,hadoop
India,100,100
China,10,57
South Korea,52,50
Singapore,74,40
Taiwan,42,36
Hong Kong,58,35
United States,30,26
Israel,25,20
Ireland,28,17
Japan,4,16
Canada,22,11
Switzerland,23,10
United Arab Emirates,28,10
United Kingdom,23,10
Pakistan,23,10
Australia,25,9
Finland,19,9
South Africa,27,8
Czech Republic,13,8
Netherlands,26,8
Malaysia,25,8
Germany,17,7
New Zealand,21,7
Norway,18,7
Greece,11,7
Sweden,14,7
Denmark,21,6
Iran,14,6
Ukraine,7,6
France,21,6
